street_number	street_direction	street_name	street_type	unit_type	unit_number	city	state_abbrev	zip
1		Cherry Hill	Ave.			Uniontown	PA	15401
1		Cherry Hill	Rd.			North Miami Beach	FL	33160
1		Chestnut	St.			Front Royal	VA	22630
1		Chestnut	Street			Chesterfield	VA	23832
1		Church	Court			Richardson	TX	75080
1		Circle	Avenue			Lansdowne	PA	19050
1		Clark	St.			Valrico	FL	33594
1		Clay	Rd.			Elk Grove Village	IL	60007
1		Clay	St.			Flemington	NJ	08822
1		Clay	Street			Rochester	NY	14606
1		Cleveland	Drive			Meadville	PA	16335
1		Clinton	Street			Tallahassee	FL	32303
1		College	Ave.			Schenectady	NY	12302
1		College	St.			Woodbridge	VA	22191
1		Columbia	St.			Frankfort	KY	40601
1		Cooper	Drive			Rocklin	CA	95677
1		Cottage	Street			Davison	MI	48423
1		Country	St.			Mechanicsville	VA	23111
1		County	Rd.			Bolingbrook	IL	60440
1		Creek	Court			North Haven	CT	06473
1		Creekside	Court			Rocky Mount	NC	27804
1		Creekside	Dr.			Depew	NY	14043
1		Deerfield	Circle			Camas	WA	98607
1		Del Monte	Ave.			Cincinnati	OH	45211
1		Devonshire	Rd.			Beckley	WV	25801
1		Dunbar	Rd.			Sanford	NC	27330
1		Durham	Dr.			Winter Springs	FL	32708
1		Eagle	St.			Northville	MI	48167
1		East 6th	Avenue			Winder	GA	30680
1		East Eagle	St.			Brooklyn	NY	11201
1		East Foxrun	St.			Westminster	MD	21157
1		East Garfield	St.			West New York	NJ	07093
1		East George	St.			Peoria	IL	61604
1		East Indian Summer	Rd.			Morrisville	PA	19067
1		East Kent	Ave.			Thibodaux	LA	70301
1		East Lake	Dr.			Palatine	IL	60067
1		East Miles	Circle			Olympia	WA	98512
1		East North	St.			Avon Lake	OH	44012
1		East Oxford	Street			Chambersburg	PA	17201
1		East Rocky River	Lane			Dyersburg	TN	38024
1		East Tunnel	Drive			Saint Petersburg	FL	33702
1		East Walt Whitman	St.			Lithonia	GA	30038
1		East Yukon	Street			Clayton	NC	27520
1		Edgefield	Ave.			East Northport	NY	11731
1		Edgewater	Lane			Englishtown	NJ	07726
1		Edgewater	St.			Lafayette	IN	47905
1		Elizabeth	Ave.			El Dorado	AR	71730
1		Elizabeth	Lane			New Philadelphia	OH	44663
1		Elizabeth	St.			Fuquay Varina	NC	27526
1		Elmwood	Ave.			East Stroudsburg	PA	18301
1		Elmwood	Ave.			Massillon	OH	44646
1		Euclid	Lane			Butler	PA	16001
1		Evergreen	Ave.			Palm City	FL	34990
1		Fairground	St.			Saginaw	MI	48601
1		Fairview	Lane			Charlottesville	VA	22901
1		Fairview	Street			Athens	GA	30605
1		Fawn	Dr.			Clifton Park	NY	12065
1		Fieldstone	Avenue			Windsor	CT	06095
1		Fieldstone	Dr.			Wake Forest	NC	27587
1		Fieldstone	Lane			Holly Springs	NC	27540
1		Fifth	Street			Brownsburg	IN	46112
1		Fordham	Drive			Kalamazoo	MI	49009
1		Foster	Ave. 	Apt	176	Geneva	IL	60134
1		Fremont	St.			Dundalk	MD	21222
1		Front	St.			Salem	MA	01970
1		Front	Street			Appleton	WI	54911
1		Gainsway	St.			Garden City	NY	11530
1		Gainsway	St.			Kalispell	MT	59901
1		Garden	Drive			Ashburn	VA	20147
1		Garden	St.			Mount Laurel	NJ	08054
1		Garfield	Lane			Reston	VA	20191
1		Garfield	Rd.			Germantown	MD	20874
1		Garfield	Road			Hamilton	OH	45011
1		Garfield	Street			Fort Mill	SC	29708
1		Glen Eagles	Dr.			Lindenhurst	NY	11757
1		Glen Ridge	St.			Oak Lawn	IL	60453
1		Glenholme	Street			Munster	IN	46321
1		Glenlake	St.			Easley	SC	29640
1		Glenlake	St.			Winter Park	FL	32792
1		Glenwood	Street			Ypsilanti	MI	48197
1		Goldfield	St.			Loganville	GA	30052
1		Golf	Rd.			Virginia Beach	VA	23451
1		Gonzales	Lane			Irwin	PA	15642
1		Gonzales	Rd.			Green Cove Springs	FL	32043
1		Gonzales	St.			Cocoa	FL	32927
1		Gonzales	St.			Lakeland	FL	33801
1		Green Hill	St.			Helotes	TX	78023
1		Green Lake	Drive			Lexington	NC	27292
1		Green Lake	Lane			Windsor	CT	06095
1		Green Lake	Street			Lititz	PA	17543
1		Greenrose	Street			Indiana	PA	15701
1		Greystone	Dr.			Arlington	MA	02474
1		Griffin	Road			Bismarck	ND	58501
1		Grove	St.			South Windsor	CT	06074
1		Gulf	St.			Soddy Daisy	TN	37379
1		Gulf	Street			Peachtree City	GA	30269
1		Hall	Ave.			Winter Springs	FL	32708
1		Harvey	St.			Lombard	IL	60148
1		Heritage	Drive			New York	NY	10002
1		High Noon	Avenue			North Olmsted	OH	44070
1		High Point	Drive			Lansdowne	PA	19050
1		High Point	Street			Mount Holly	NJ	08060
1		High Ridge	Ave.			Capitol Heights	MD	20743
1		Highland	St.			Malden	MA	02148
1		Hill Field	Ave.			Flushing	NY	11354
1		Hill Field	Ave.			Union	NJ	07083
1		Hilldale	Ave.			Schaumburg	IL	60193
1		Homewood	Dr.			Clearwater	FL	33756
1		Homewood	Rd.			Pittsburgh	PA	15206
1		Honey Creek	Drive			Sun Prairie	WI	53590
1		Honey Creek	St.			Munster	IN	46321
1		Hudson	Lane			New Rochelle	NY	10801
1		Iroquois	Rd.			Manchester Township	NJ	08759
1		Jackson	Court			Vincentown	NJ	08088
1		James	Ave.			New Orleans	LA	70115
1		James	Court			Ottumwa	IA	52501
1		James	St.			Chevy Chase	MD	20815
1		John	Drive			Elmont	NY	11003
1		Johnson	Lane			Cleveland	TN	37312
1		Johnson	Street			Langhorne	PA	19047
1		Johnson	Street			Quakertown	PA	18951
1		Jones	Lane			Mount Holly	NJ	08060
1		Jones	Road			Fairburn	GA	30213
1		Kent	St.			Mahwah	NJ	07430
1		Kent	St.			Morrisville	PA	19067
1		Kingston	Rd.			Waynesboro	PA	17268
1		Lafayette	Street 	Suite	157	South Ozone Park	NY	11420
1		Lafayette 	Ave.			Reidsville	NC	27320
1		Lake	Avenue			Lombard	IL	60148
1		Lake View	Ave.			Buffalo Grove	IL	60089
1		Lantern	Ave.			Richmond	VA	23223
1		Lantern	Street			High Point	NC	27265
1		Laurel	Street			Dorchester	MA	02125
1		Leatherwood	Dr.			Indianapolis	IN	46201
1		Lees Creek	Road			Hackettstown	NJ	07840
1		Lees Creek	Street			Salt Lake City	UT	84119
1		Leeton Ridge	Drive			Far Rockaway	NY	11691
1		Leeton Ridge	Road			Eastlake	OH	44095
1		Lilac	Rd.			Fort Mill	SC	29708
1		Littleton	St.			Addison	IL	60101
1		Littleton	St.			Eden Prairie	MN	55347
1		Locust	Drive			Danvers	MA	01923
1		Locust	Lane			Rockville Centre	NY	11570
1		Logan	Rd.			Ormond Beach	FL	32174
1		Lookout	St.			Paramus	NJ	07652
1		Lookout	Street			Fenton	MI	48430
1		Lyme	St.			Fort Mill	SC	29708
1		Madison	Avenue			Irmo	SC	29063
1		Magnolia	St.			Brick	NJ	08723
1		Maiden	Ave.			Battle Ground	WA	98604
1		Maiden	Lane			Lititz	PA	17543
1		Main	Avenue			Port Washington	NY	11050
1		Main	Lane			Rome	NY	13440
1		Mammoth	Ave.			Valley Stream	NY	11580
1		Manor Station	St.			Lansdale	PA	19446
1		Marconi	Lane			Kaukauna	WI	54130
1		Marsh	Street			Bluffton	SC	29910
1		Marvon	Ave.			Williamsport	PA	17701
1		Marvon	St.			Medina	OH	44256
1		Mayfield	Drive			Cottage Grove	MN	55016
1		Mayfield	St.			Horn Lake	MS	38637
1		Mayfield	St.			Winter Garden	FL	34787
1		Mayflower	Ave.			Loveland	OH	45140
1		Mayflower	St.			Marion	NC	28752
1		Meadowbrook	Drive			Buffalo Grove	IL	60089
1		Miles	Ave.			Grove City	OH	43123
1		Miles	Rd.			Peachtree City	GA	30269
1		Military	St.			Fernandina Beach	FL	32034
1		Mill Pond	St.			Bronx	NY	10451
1		Monroe	St.			La Vergne	TN	37086
1		Morris	Rd.			Goose Creek	SC	29445
1		Mulberry	Ave.			Melrose	MA	02176
1		Newbridge	Circle			Skokie	IL	60076
1		Newbridge	Rd.			Duarte	CA	91010
1		Newcastle	Dr.			Soddy Daisy	TN	37379
1		Newcastle	St.			Pompano Beach	FL	33060
1		Nichols	Street			Elk Grove Village	IL	60007
1		North	Ave.			Ankeny	IA	50023
1		North Corona	Ave.			Lewiston	ME	04240
1		North Fairfield	St.			Yuba City	CA	95993
1		North Forest	Ave.			Stone Mountain	GA	30083
1		North Greenrose	Dr.			Lake Worth	FL	33460
1		North Jones	St.			Hazleton	PA	18201
1		North Jones	Street			York	PA	17402
1		North Madison	Drive			Spartanburg	SC	29301
1		North Meadow	Lane			Madison	AL	35758
1		North Oak Valley	Street			Zionsville	IN	46077
1		North Ramblewood	St.			Palatine	IL	60067
1		North Smith	St.			Metairie	LA	70001
1		North Tallwood	Drive			Shepherdsville	KY	40165
1		North Winding Way	Street			Northville	MI	48167
1		Nut Swamp	Street			Mount Juliet	TN	37122
1		Oak	Lane			Long Beach	NY	11561
1		Oak	Street			Banning	CA	92220
1		Oak Meadow	St.			Kernersville	NC	27284
1		Oak Meadow	Street			Annapolis	MD	21401
1		Oak Valley	Dr.			Apopka	FL	32703
1		Oak Valley	St.			Rosedale	NY	11422
1		Oakland	Rd.			Montgomery	AL	36109
1		Ocean	Court			Natick	MA	01760
1		Ohio	Drive			Millington	TN	38053
1		Ohio	Street			Maineville	OH	45039
1		Oklahoma	St.			Washington	PA	15301
1		Old 10th	Street			Arvada	CO	80003
1		Old Heather	St.			Danbury	CT	06810
1		Old High Point	Ave.			De Pere	WI	54115
1		Old Littleton	Dr.			Melbourne	FL	32904
1		Old York	Rd.			Elgin	IL	60120
1		Olive	Dr.			Sun City	AZ	85351
1		Olive	Lane			Bountiful	UT	84010
1		Overlook	Rd.			Salem	MA	01970
1		Oxford	Rd.			Brick	NJ	08723
1		Pacific	Dr.			Deerfield Beach	FL	33442
1		Pearl	Ave.			Pickerington	OH	43147
1		Pearl	Dr.			Lansdowne	PA	19050
1		Pendergast	St.			Massapequa Park	NY	11762
1		Peninsula	Lane			Dover	NH	03820
1		Pennington	Drive			Billerica	MA	01821
1		Pierce	Rd.			Norfolk	VA	23503
1		Pilgrim	Court			Springfield Gardens	NY	11413
1		Pin Oak	Drive			Lebanon	PA	17042
1		Pine	Ave.			Wisconsin Rapids	WI	54494
1		Plumb Branch	Dr.			Glendale Heights	IL	60139
1		Plymouth	Street			Port Washington	NY	11050
1		Poor House	Ave.			Yorktown Heights	NY	10598
1		Poor House	Lane			Flowery Branch	GA	30542
1		Princeton	Drive			Kokomo	IN	46901
1		Princeton	Lane			Owings Mills	MD	21117
1		Proctor	Street			Torrington	CT	06790
1		Prospect	Court			Mableton	GA	30126
1		Purple Finch	St.			Muskego	WI	53150
1		Queen	Road			Mount Prospect	IL	60056
1		Race	Avenue			Ringgold	GA	30736
1		Race	St.			Latrobe	PA	15650
1		Railroad	Ave.			Emporia	KS	66801
1		Ramblewood	Drive			Queensbury	NY	12804
1		Richardson	St.			Evansville	IN	47711
1		River	Ave.			Battle Ground	WA	98604
1		Rock Creek	St.			Kingsport	TN	37660
1		Rock Creek	Street 	Suite	3	Fenton	MI	48430
1		Rockaway	St.			Oceanside	NY	11572
1		Rockville	St.			Collegeville	PA	19426
1		Rosewood	Ave.			Ridgewood	NJ	07450
1		Rosewood	Drive			Campbell	CA	95008
1		Rosewood	Street			Salt Lake City	UT	84119
1		Sage	Street			Cleveland	TN	37312
1		San Pablo	Rd.			Desoto	TX	75115
1		San Pablo	Street			New Bedford	MA	02740
1		San Pablo	Street			Saint Paul	MN	55104
1		Santa Clara	St.			Freeport	NY	11520
1		Saxon	Circle			Hilliard	OH	43026
1		Saxton	Avenue			Natick	MA	01760
1		Saxton	Lane			Kings Mountain	NC	28086
1		Second	Street			Fort Myers	FL	33905
1		Selby	St.			Lynchburg	VA	24502
1		Shadow Brook	Street			Deer Park	NY	11729
1		Sherman	Street			Wasilla	AK	99654
1		Shirley	Drive			Oxon Hill	MD	20745
1		Shore	Ave.			Hamilton	OH	45011
1		Shore	Street			Greer	SC	29650
1		Sierra	Street			Royersford	PA	19468
1		Sleepy Hollow	Street			Traverse City	MI	49684
1		South	Ave.			Greensboro	NC	27405
1		South	St.			Richmond Hill	NY	11418
1		South Ashley	Drive			Ronkonkoma	NY	11779
1		South Birchpond	St.			Philadelphia	PA	19111
1		South Chestnut	St.			Muskogee	OK	74403
1		South Marshall	Drive			Lapeer	MI	48446
1		South Marshall	Street			Lake Jackson	TX	77566
1		South Riverview	St.			Sioux City	IA	51106
1		South Sunset	Drive			Salisbury	MD	21801
1		South Third	St.			Hastings	MN	55033
1		Southampton	Street			Canandaigua	NY	14424
1		Spring	St.			Fort Myers	FL	33905
1		Squaw Creek	St.			North Royalton	OH	44133
1		St Paul	Lane			Glen Burnie	MD	21060
1		State	Ave.			Green Bay	WI	54302
1		State	Street			Latrobe	PA	15650
1		Stillwater	Ave.			Fullerton	CA	92831
1		Stonybrook	St.			Lansdale	PA	19446
1		Studebaker	Drive			Summerfield	FL	34491
1		Sugar	Drive			La Crosse	WI	54601
1		Sulphur Springs	Dr.			Wheaton	IL	60187
1		Sunbeam	St.			Union	NJ	07083
1		Sunnyslope	Street			Bethlehem	PA	18015
1		Surrey	Ave.			Jersey City	NJ	07302
1		Surrey	Court			Grosse Pointe	MI	48236
1		Surrey	Dr.			Great Falls	MT	59404
1		Sutor	Ave.			Ridgecrest	CA	93555
1		Swanson	Street			Reno	NV	89523
1		Talbot	Ave.			Park Forest	IL	60466
1		Tanglewood	Court			Ottawa	IL	61350
1		Tarkiln Hill	Court			Somerset	NJ	08873
1		Thatcher	Avenue			Brownsburg	IN	46112
1		Thatcher	Road			Queensbury	NY	12804
1		Third	St.			Alliance	OH	44601
1		Thompson	Dr.			Grand Haven	MI	49417
1		Thorne	Street			Nanuet	NY	10954
1		Tower	Lane			Barberton	OH	44203
1		Trenton	St.			Montgomery Village	MD	20886
1		University	Ave.			Eden Prairie	MN	55347
1		University	Road			Newnan	GA	30263
1		Vale	St.			Butte	MT	59701
1		Valley Farms	Ave.			Dalton	GA	30721
1		Valley Farms	St.			Richardson	TX	75080
1		Valley View	Lane			Stockbridge	GA	30281
1		Van Dyke	Street			Streamwood	IL	60107
1		Vermont	Court			Cockeysville	MD	21030
1		Vermont	Dr.			Villa Rica	GA	30180
1		Vine	Court			Piscataway	NJ	08854
1		Virginia	Court			Lady Lake	FL	32159
1		Virginia	Lane			Corona	NY	11368
1		Wagon	Ave.			North Miami Beach	FL	33160
1		Wagon	Drive			Sanford	NC	27330
1		Washington	Drive			Gwynn Oak	MD	21207
1		Washington	St.			Coventry	RI	02816
1		Water	Court			Lawrence	MA	01841
1		Wayne	Street			Trumbull	CT	06611
1		West	Court			Harlingen	TX	78552
1		West Academy	Drive			Rockville	MD	20850
1		West Essex	Ave.			Beckley	WV	25801
1		West Lancaster	Road			Johnston	RI	02919
1		West Marshall	Street			Hempstead	NY	11550
1		West Poor House	Ave.			Champlin	MN	55316
1		West Rockcrest	Court			Grand Haven	MI	49417
1		West Saxon	Dr.			Dover	NH	03820
1		West Sunbeam	St.			Elk Grove Village	IL	60007
1		West Sunset	Road			Woodhaven	NY	11421
1		West Valley View	Dr.			Livingston	NJ	07039
1		Westport	Dr.			Willoughby	OH	44094
1		Whitemarsh	Dr.			Ladson	SC	29456
1		Williams	Street			Colonial Heights	VA	23834
1		Windsor	St.			Paducah	KY	42001
1		Wood	Drive			Cockeysville	MD	21030
1		Wood	St.			Tampa	FL	33604
1		Woodland	Lane			Lacey	WA	98503
1		Woodside	St.			Hartford	CT	06106
1		Woodsman	Ave.			Saratoga Springs	NY	12866
1		York	Circle			Warminster	PA	18974
1		York	Road			Nampa	ID	83651
1		York	St.			Bay City	MI	48706
1	E. 	Creekside	St.			Coatesville	PA	19320
1	E. 	Division	Drive			Stone Mountain	GA	30083
1	E. 	Honey Creek	St.			Bel Air	MD	21014
1	E. 	Tower	Ave.			Mount Vernon	NY	10550
1	E. 	Union	Dr.			Albany	NY	12203
1	N. 	Circle	Ave.			Richmond Hill	NY	11418
1	N. 	Elmwood	Lane			Hicksville	NY	11801
1	N. 	Fawn	Drive			New Baltimore	MI	48047
1	N. 	Overlook	Ave.			Charlotte	NC	28205
1	N. 	Pleasant	Drive			Kalispell	MT	59901
1	N. 	Rose	Street			Mason City	IA	50401
1	N. 	San Pablo	Ave.			The Villages	FL	32162
1	NE. 	Helen	St.			Pearl	MS	39208
1	NW. 	Peg Shop	Street			Forney	TX	75126
1	NW. 	Rockcrest	Lane			Woburn	MA	01801
1	S. 	6th	Street			Dyersburg	TN	38024
1	S. 	Cardinal	Ave.			Oak Lawn	IL	60453
1	S. 	Cardinal	St.			South Windsor	CT	06074
1	S. 	East	Drive			Glenside	PA	19038
1	S. 	Glenholme	Road			Muskego	WI	53150
1	S. 	Hamilton	St.			Scarsdale	NY	10583
1	S. 	Ketch Harbour	Drive			Racine	WI	53402
1	S. 	Pumpkin Hill	Court			Rossville	GA	30741
1	SE. 	Green	St.			Cockeysville	MD	21030
1	W. 	Bay	Ave.			Monroe Township	NJ	08831
1	W. 	Jackson	Dr.			Howell	NJ	07731
1	W. 	Riverview	Avenue			North Haven	CT	06473
1	W. 	School	Dr.			Myrtle Beach	SC	29577
10		10th	St.			Flowery Branch	GA	30542
10		10th	St.			Lady Lake	FL	32159
10		53rd	St.			Tuscaloosa	AL	35405
10		Airport	St.			Tucson	AZ	85718
10		Alton	St.			Odenton	MD	21113
10		Andover	Street			Noblesville	IN	46060
10		Ann	Street			Neenah	WI	54956
10		Arch	Ave.			Syosset	NY	11791
10		Armstrong	St.			Parsippany	NJ	07054
10		Arnold	Lane			Hartford	CT	06106
10		Arrowhead	St.			Hamden	CT	06514
10		Atlantic	St.			Olympia	WA	98512
10		Augusta	Rd.			Prior Lake	MN	55372
10		Bay Meadows	Rd.			Danville	VA	24540
10		Beach	Lane			Bedford	OH	44146
10		Bedford	Avenue			Washington	PA	15301
10		Bellevue	Dr.			Chevy Chase	MD	20815
10		Birch Hill	St.			Hephzibah	GA	30815
10		Boston	Rd.			Niceville	FL	32578
10		Bradford	Dr.			Oswego	NY	13126
10		Branch	Road			Asheville	NC	28803
10		Brewery	St.			Fresno	CA	93706
10		Bridge	St.			Bowling Green	KY	42101
10		Brookside	Street			Seymour	IN	47274
10		Buckingham	St.			Kaukauna	WI	54130
10		Charles	Street			Miami	FL	33125
10		Country Club	Lane			Uniondale	NY	11553
10		Durham	Road			Upper Darby	PA	19082
10		East Clay	St.			Nashville	TN	37205
10		East Warren	Dr.			Charlotte	NC	28205
10		East Washington	Lane			North Tonawanda	NY	14120
10		Edgefield	Street			Norman	OK	73072
10		El Dorado	Rd.			Toledo	OH	43612
10		Elm	Court			Des Plaines	IL	60016
10		Elmwood	Street			High Point	NC	27265
10		Elmwood	Street			Port Washington	NY	11050
10		Evergreen	St.			Spring Hill	FL	34608
10		Fairway	Lane			North Haven	CT	06473
10		Fieldstone	Road			Holyoke	MA	01040
10		Forest	Rd.			Fresno	CA	93706
10		Fulton	Road			Rockford	MI	49341
10		George	Rd.			Elkhart	IN	46514
10		Gulf	Street			Rochester	NY	14606
10		Halifax	Drive			West Springfield	MA	01089
10		Hanover	Street			Muskogee	OK	74403
10		Harvey	Lane			Mechanicsville	VA	23111
10		Hawthorne	Ave.			Mundelein	IL	60060
10		Helen	Ave.			Chatsworth	GA	30705
10		Hill	Court			Gaithersburg	MD	20877
10		Hillside	Ave.			Cincinnati	OH	45211
10		Hillside	Dr.			Port Charlotte	FL	33952
10		Illinois	Ave.			Nashua	NH	03060
10		Inverness	Lane			Charlottesville	VA	22901
10		Inverness	Lane			Parkville	MD	21234
10		Iroquois	St.			Riverside	NJ	08075
10		Ivy	St.			Acworth	GA	30101
10		Jefferson	Ave.			Westwood	NJ	07675
10		Jefferson	Lane			Owensboro	KY	42301
10		Ketch Harbour	Dr.			Northville	MI	48167
10		Ketch Harbour	Lane			Huntley	IL	60142
10		Lafayette 	St.			Branford	CT	06405
10		Lake View	Ave.			Onalaska	WI	54650
10		Lakeview	Drive			Salem	MA	01970
10		Lakeview	Street			Franklin	MA	02038
10		Lakewood	Street			Great Falls	MT	59404
10		Lees Creek	Street			Brownsburg	IN	46112
10		Leeton Ridge	Rd.			Wyoming	MI	49509
10		Longfellow	Ave.			Thibodaux	LA	70301
10		Marvon	Ave.			Mcminnville	TN	37110
10		Mayfield	St.			South Ozone Park	NY	11420
10		Mountainview	Drive			Suitland	MD	20746
10		Nichols	Street			Annapolis	MD	21401
10		North	Court			Glen Ellyn	IL	60137
10		North Fairview	St.			Lake Jackson	TX	77566
10		North Logan	Street			Ormond Beach	FL	32174
10		North Mill Pond	St.			Clemmons	NC	27012
10		North Selby	St.			Meriden	CT	06450
10		North Strawberry	Ave.			Quakertown	PA	18951
10		North Tarkiln Hill	Avenue			Detroit	MI	48205
10		Nut Swamp	St.			Cedar Rapids	IA	52402
10		Oak Valley	Avenue			Ypsilanti	MI	48197
10		Oklahoma	St.			Macungie	PA	18062
10		Orange	Ave.			Glendale Heights	IL	60139
10		Peachtree	Drive			State College	PA	16801
10		Pineknoll	Street			Ashland	OH	44805
10		Pleasant	St.			Hoboken	NJ	07030
10		Primrose	Road			Greenwood	SC	29646
10		Purple Finch	Drive			Eastlake	OH	44095
10		Railroad	St.			King Of Prussia	PA	19406
10		Railroad	St.			Sanford	NC	27330
10		Ramblewood	Road			Chandler	AZ	85224
10		Richardson	Dr.			Groton	CT	06340
10		River	Court			Satellite Beach	FL	32937
10		River	Street			Hartselle	AL	35640
10		Riverside	Road			Mableton	GA	30126
10		Riverview	Dr.			Reynoldsburg	OH	43068
10		Rock Maple	St.			Torrance	CA	90505
10		Rockville	Street			Asheville	NC	28803
10		Roehampton	Dr.			Desoto	TX	75115
10		Rosewood	Street			Phoenixville	PA	19460
10		San Carlos	Avenue			Port Chester	NY	10573
10		Santa Clara	St.			Garner	NC	27529
10		Selby	Dr.			Ottumwa	IA	52501
10		Sheffield	Lane			Oshkosh	WI	54901
10		Shirley	Dr.			Glen Allen	VA	23059
10		Shub Farm	Rd.			Buffalo Grove	IL	60089
10		Somerset	Street			Mount Laurel	NJ	08054
10		South	St.			Desoto	TX	75115
10		South Gartner	Avenue			Washington	PA	15301
10		South Myrtle	St.			Canonsburg	PA	15317
10		South Sherman	St.			Portsmouth	VA	23703
10		South Washington	Court			Neptune	NJ	07753
10		Spring	Rd.			Greensburg	PA	15601
10		St Margarets	Street			Rockledge	FL	32955
10		St Paul	St.			Monroe	NY	10950
10		Sycamore	Street			Anderson	SC	29621
10		Theatre	Drive			Bergenfield	NJ	07621
10		Thomas	Dr.			Roanoke	VA	24012
10		Thomas	St.			Falls Church	VA	22041
10		Trusel	St.			Waldorf	MD	20601
10		Valley	St.			North Miami Beach	FL	33160
10		Washington	Street			Fort Walton Beach	FL	32547
10		Water	Ave.			Cheshire	CT	06410
10		Wayne	Lane			Millington	TN	38053
10		West Border	Street			Lanham	MD	20706
10		West Heritage	Ave.			Tucson	AZ	85718
10		Westport	St.			Austin	MN	55912
10		Wild Rose	St.			Irvington	NJ	07111
10		William	Road			Bethel Park	PA	15102
10		Winding Way	Ave.			York	PA	17402
10	E. 	6th	St.			Greensburg	PA	15601
10	E. 	Hickory	St.			Emporia	KS	66801
10	E. 	Pacific	Street			Dickson	TN	37055
10	E. 	Stillwater	St.			La Crosse	WI	54601
10	N. 	Creekside	Drive			Brownsburg	IN	46112
10	N. 	Inverness	Drive			Macon	GA	31204
10	N. 	Kirkland	Drive			Roanoke Rapids	NC	27870
10	N. 	Lake Forest	Ave.			Harrisonburg	VA	22801
10	N. 	Rock Creek	St.			Annapolis	MD	21401
10	NE. 	High Noon	St.			Port Charlotte	FL	33952
10	NE. 	Leeton Ridge	Court			Saint Johns	FL	32259
10	S. 	Rockaway	Rd.			Summerfield	FL	34491
